id,label
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,0
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,1
159,1
160,0
161,0
162,1
163,0
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,0
193,0
194,0
195,0
196,1
197,1
198,1
199,1
200,0
201,0
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,0
224,0
225,0
226,1
227,0
228,1
229,1
230,1
231,0
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,1
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,0
350,0
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,0
388,1
389,1
390,1
391,1
392,0
393,0
394,0
